a_c,digits_stable,digits_naive
1e+02,6.9,6.9
1e+01,6.9,6.3
1e+00,6.9,6.2
1e-01,6.9,4.9
1e-02,6.9,3.7
1e-03,6.9,3.0
1e-04,6.9,1.6
1e-05,6.9,0.7
1e-06,6.9,0.0
1e-07,6.9,0.0
1e-08,6.9,0.0
1e-09,6.9,0.0
1e-10,6.9,0.0
1e-11,6.9,0.0
1e-12,6.9,0.0
1e-13,6.9,0.0
1e-14,6.9,0.0
-1e+01,6.9,6.9
-1e+00,6.9,5.5
-1e-01,6.9,4.9
-1e-02,6.9,3.5
-1e-03,6.9,3.0
-1e-04,6.9,1.6
-1e-05,6.9,0.7
-1e-06,6.9,0.0
-1e-07,6.9,0.0
-1e-08,6.9,0.0
-1e-09,6.9,0.0
-1e-10,6.9,0.0
-1e-11,6.9,0.0
-1e-12,6.9,0.0
-1e-13,6.9,0.0
-1e-14,6.9,0.0
